Id,ModelId,Plate,Permissions,IsStowed,Inventory,EngineInventory,Color,Smoothness,X,Y,Z,RotX,RotY,RotZ,BizId,Fuel,Damages,Serigraphie,EurosoftData,AccessoriesData
1,6,GD-415-BV,"{""owner"":{""groupId"":0,""characterId"":1},""coOwners"":[]}",1,"{""inventory"":[{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""}],""passcode"":""1234""}","{""inventory"":[{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":4,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":5,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""}],""passcode"":""""}",#ffffff,0.850000023841858,805.487365722656,50.1317481994629,867.289367675781,359.625366210938,102.236595153809,0.0282291993498802,1,92.1495208740234,[],,,"{""accessoryList"":[]}"
2,6,QT-156-KG,"{""owner"":{""groupId"":0,""characterId"":1},""coOwners"":[]}",0,"{""inventory"":[{""itemId"":4,""number"":1,""data"":""{\""statePercentage\"":38.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":0.0}""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""}],""passcode"":""1234""}","{""inventory"":[{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":82.0}""},{""itemId"":4,""number"":1,""data"":""{\""statePercentage\"":82.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":82.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":92.0}""},{""itemId"":5,""number"":1,""data"":""{\""statePercentage\"":88.5}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":80.0}""}],""passcode"":""""}",#ffffff,0.850000023841858,345.529846191406,50.131217956543,629.675109863281,359.642669677734,97.60498046875,-5.67236820643302e-05,1,81.4259719848633,[],,,"{""accessoryList"":[]}"
3,42,WG-485-PW,"{""owner"":{""groupId"":0,""characterId"":1},""coOwners"":[]}",0,"{""inventory"":[{""itemId"":1235,""number"":9,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":1637,""number"":1,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""}],""passcode"":""1234""}","{""inventory"":[{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":78.0}""},{""itemId"":4,""number"":1,""data"":""{\""statePercentage\"":94.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":90.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":80.0}""},{""itemId"":5,""number"":1,""data"":""{\""statePercentage\"":71.5}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":87.0}""}],""passcode"":""""}",#ffffff,0.850000023841858,356.918395996094,50.1697769165039,611.57666015625,-4.85518357891124e-05,284.928100585938,-9.53188009589212e-06,1,92.9989624023438,[],,,"{""accessoryList"":[]}"
4,42,KK-445-XB,"{""owner"":{""groupId"":0,""characterId"":1},""coOwners"":[]}",0,"{""inventory"":[{""itemId"":1163,""number"":4,""data"":""""},{""itemId"":1073,""number"":2,""data"":""{\""clothName\"":\""Costard\"",\""url\"":\""https://i.ibb.co/k1qv3HJ/Bas-Costard-Bleu-Marine-by-RIGMO.png\""}""},{""itemId"":153,""number"":2,""data"":""{\""clothName\"":\""Costard\"",\""url\"":\""https://i.ibb.co/BKWb1Bt/Haut-Costard-Bleu-Marine-by-RIGMO.png\""}""},{""itemId"":1637,""number"":1,""data"":""""},{""itemId"":1411,""number"":1,""data"":""""},{""itemId"":5,""number"":10,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":78,""number"":11,""data"":""""},{""itemId"":136,""number"":13,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":36,""number"":1,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""}],""passcode"":""1234""}","{""inventory"":[{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":4,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":5,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""}],""passcode"":""""}",#ffffff,0.850000023841858,781.682922363281,50.1638832092285,829.499450683594,0.263657748699188,181.127746582031,359.675567626953,1,62.0978355407715,"[{""velocity"":{""x"":0.121656418,""y"":-0.2711592,""z"":-8.373978,""normalized"":{""x"":0.0145187723,""y"":-0.0323608,""z"":-0.9993708,""magnitude"":1.0,""sqrMagnitude"":1.0},""magnitude"":8.37925,""sqrMagnitude"":70.21183},""point"":{""x"":-0.6580348,""y"":0.2588969,""z"":2.87558818,""normalized"":{""x"":-0.222214669,""y"":0.08742803,""z"":0.971070051,""magnitude"":1.0,""sqrMagnitude"":1.00000012},""magnitude"":2.96125722,""sqrMagnitude"":8.769045},""normal"":{""x"":0.629301369,""y"":0.07505546,""z"":-0.7735286,""magnitude"":1.0,""sqrMagnitude"":1.0}},{""velocity"":{""x"":-1.26015866,""y"":-0.3801289,""z"":-9.742116,""normalized"":{""x"":-0.128186941,""y"":-0.038667798,""z"":-0.9909959,""normalized"":{""x"":-0.128186956,""y"":-0.0386678,""z"":-0.990995944,""magnitude"":1.0,""sqrMagnitude"":1.0},""magnitude"":0.99999994,""sqrMagnitude"":0.99999994},""magnitude"":9.830632,""sqrMagnitude"":96.64132},""point"":{""x"":1.14242673,""y"":0.761406541,""z"":-2.40602756,""normalized"":{""x"":0.412403,""y"":0.274859041,""z"":-0.8685484,""magnitude"":1.0,""sqrMagnitude"":1.0},""magnitude"":2.770171,""sqrMagnitude"":7.673847},""normal"":{""x"":-0.9971386,""y"":-0.0417579375,""z"":0.06301478,""magnitude"":1.0,""sqrMagnitude"":1.0}},{""velocity"":{""x"":-1.05156159,""y"":-0.0573983938,""z"":11.5898762,""normalized"":{""x"":-0.09035878,""y"":-0.00493214,""z"":0.995897055,""magnitude"":1.0,""sqrMagnitude"":1.0},""magnitude"":11.6376247,""sqrMagnitude"":135.434311},""point"":{""x"":1.14635658,""y"":0.9342376,""z"":-1.57392406,""normalized"":{""x"":0.530802,""y"":0.432583719,""z"":-0.72878027,""normalized"":{""x"":0.530801952,""y"":0.43258366,""z"":-0.7287802,""normalized"":{""x"":0.530802,""y"":0.4325837,""z"":-0.72878027,""magnitude"":1.0,""sqrMagnitude"":1.00000012},""magnitude"":0.99999994,""sqrMagnitude"":0.99999994},""magnitude"":1.00000012,""sqrMagnitude"":1.00000012},""magnitude"":2.159669,""sqrMagnitude"":4.66417027},""normal"":{""x"":-0.9997994,""y"":0.0117215263,""z"":-0.0162444934,""magnitude"":1.0,""sqrMagnitude"":1.0}},{""velocity"":{""x"":0.190790653,""y"":0.03111513,""z"":12.5763626,""normalized"":{""x"":0.0151687833,""y"":0.002473804,""z"":0.999881864,""magnitude"":1.0,""sqrMagnitude"":0.99999994},""magnitude"":12.5778484,""sqrMagnitude"":158.202271},""point"":{""x"":0.5647435,""y"":1.741595,""z"":-2.53416371,""normalized"":{""x"":0.1806398,""y"":0.5570695,""z"":-0.8105818,""magnitude"":1.0,""sqrMagnitude"":1.0},""magnitude"":3.12635159,""sqrMagnitude"":9.774075},""normal"":{""x"":0.0144441724,""y"":-0.5967158,""z"":0.8023226,""magnitude"":1.0,""sqrMagnitude"":1.0}}]",,,"{""accessoryList"":[]}"
5,11,SX-922-SV,"{""owner"":{""groupId"":0,""characterId"":1},""coOwners"":[]}",0,"{""inventory"":[{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""}],""passcode"":""1234""}","{""inventory"":[{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":31.0}""},{""itemId"":4,""number"":1,""data"":""{\""statePercentage\"":38.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":28.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":39.0}""},{""itemId"":5,""number"":1,""data"":""{\""statePercentage\"":0.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":32.0}""}],""passcode"":""""}",#ffffff,0.850000023841858,346.081665039063,50.0516395568848,637.869812011719,0.000130811517010443,103.834022521973,0.000189079248229973,1,81.2988586425781,[],,,"{""accessoryList"":[]}"
6,11,SB-520-QC,"{""owner"":{""groupId"":0,""characterId"":1},""coOwners"":[]}",0,"{""inventory"":[{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""}],""passcode"":""1234""}","{""inventory"":[{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":91.0}""},{""itemId"":4,""number"":1,""data"":""{\""statePercentage\"":84.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":87.0}""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":5,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":93.0}""}],""passcode"":""""}",#ffffff,0.850000023841858,346.516693115234,50.051197052002,640.958251953125,359.993835449219,98.6219863891602,4.28604398621246e-05,1,75.0963439941406,[],,,"{""accessoryList"":[]}"
7,27,MZ-972-YR,"{""owner"":{""groupId"":0,""characterId"":78},""coOwners"":[]}",0,"{""inventory"":[{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""}],""passcode"":""1234""}","{""inventory"":[{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":4,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":5,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""}],""passcode"":""""}",#ffffff,0.850000023841858,942.236083984375,46.0565528869629,564.668273925781,-1.3651127119374e-05,194.142303466797,1.46862721521757e-05,2,97.6799468994141,[],,,"{""accessoryList"":[]}"
8,27,YR-002-MN,"{""owner"":{""groupId"":0,""characterId"":78},""coOwners"":[]}",0,"{""inventory"":[{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""}],""passcode"":""1234""}","{""inventory"":[{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":4,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":5,""number"":1,""data"":""{\""statePercentage\"":0.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""}],""passcode"":""""}",#ffffff,0.850000023841858,927.970703125,50.0537185668945,547.889831542969,359.959228515625,271.073852539063,359.736419677734,2,-0.0070345401763916,[],,,"{""accessoryList"":[]}"
9,46,MC-208-WE,"{""owner"":{""groupId"":0,""characterId"":78},""coOwners"":[]}",0,"{""inventory"":[{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""}],""passcode"":""1234""}","{""inventory"":[{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":82.0}""},{""itemId"":4,""number"":1,""data"":""{\""statePercentage\"":88.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":89.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":84.0}""},{""itemId"":5,""number"":1,""data"":""{\""statePercentage\"":0.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":86.0}""}],""passcode"":""""}",#ffffff,0.850000023841858,929.07958984375,50.1813087463379,544.513061523438,-0.0012262798845768,263.689758300781,2.74915710178902e-05,2,-0.00551793724298477,[],,,"{""accessoryList"":[]}"
10,46,KZ-257-MP,"{""owner"":{""groupId"":0,""characterId"":78},""coOwners"":[]}",0,"{""inventory"":[{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""},{""itemId"":0,""number"":0,""data"":""""}],""passcode"":""1234""}","{""inventory"":[{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":4,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""},{""itemId"":5,""number"":1,""data"":""{\""statePercentage\"":85.5}""},{""itemId"":3,""number"":1,""data"":""{\""statePercentage\"":100.0}""}],""passcode"":""""}",#ffffff,0.850000023841858,935.520385742188,46.1767234802246,566.386779785156,-5.12142141815275e-05,194.627883911133,1.67502730619162e-05,2,67.998046875,[],,,"{""accessoryList"":[]}"
